Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
6482,44230,29-Nov-17,291117,490
6483,268,29-Nov-17,291117,9820
6484,44128,27-Nov-17,271117,65245
6485,71988,27-Nov-17,271117,8856
6486,37,28-Nov-17,281117,1205
6487,71874,06-Dec-17,61217,7845
6488,56524,06-Dec-17,61217,5455
6489,56523,06-Dec-17,61217,9825
6490,44137,06-Dec-17,61217,79200
6491,44138,06-Dec-17,61217,67695
6492,44139,06-Dec-17,61217,41160
6493,POSO31117,02-Dec-17,21217,210
6494,44136,05-Dec-17,51217,54400
6495,85793,05-Dec-17,51217,6070
6496,71996,05-Dec-17,51217,7060
6497,6321788,06-Dec-17,61217,40074
6498,25278,07-Dec-17,71217,25278
6499,32827,30-Nov-17,301117,32827
6500,223465,30-Nov-17,301117,223465
6501,71850,24-Jan-18,240118,3386
6502,11062,24-Jan-18,240118,34723
6503,11073,24-Jan-18,240118,49445
6504,535974,27-Nov-17,271117,16526
6505,391245,27-Nov-17,271117,391245
6506,6560,27-Nov-17,271117,6560
6507,44127,24-Nov-17,241117,83810
6508,71987,24-Nov-17,241117,8750
6509,44140,07-Dec-17,71217,63605
6510,541030,11-Dec-17,111217,1434
6511,44142,11-Dec-17,111217,71675
6512,4527,11-Dec-17,111217,8041
6513,72767,06-Dec-17,61217,79062
6514,A274,14-Dec-17,141217,274
6515,163174,14-Dec-17,141217,163174
6516,80758,02-Dec-17,21217,128791
6517,72765,02-Dec-17,21217,19475
6518,IKOC6907064,11-Dec-17,111217,341065
6519,IKOC6911844,12-Dec-17,121217,928746
6520,IKOC6910689,12-Dec-17,121217,122995
6521,IKOC6911908,12-Dec-17,121217,1863104
6522,66322,24-Nov-17,241117,140
6523,18052,24-Nov-17,241117,18052
6524,44147,14-Dec-17,141217,45745
6525,538626,06-Dec-17,61217,3690
6526,44242,06-Dec-17,61217,1160
6527,44241,06-Dec-17,61217,745
6528,93242,29-Nov-17,291117,3140
6529,93244,29-Nov-17,291117,2620
6530,18799,12-Dec-17,121217,18799
6531,44134,02-Dec-17,21217,64455
6532,44135,02-Dec-17,21217,59490
6533,85791,02-Dec-17,21217,5970
6534,85790,02-Dec-17,21217,7695
6535,71995,02-Dec-17,21217,10570
6536,71994,02-Dec-17,21217,8455
6537,87951,24-Jan-18,240118,15325
6538,9277,24-Jan-18,240118,2435
6539,9381,24-Jan-18,240118,22885
6540,A596614,24-Jan-18,240118,9340
6541,46682,06-Dec-17,61217,1205
6542,45,06-Dec-17,61217,2200
6543,546642,06-Dec-17,61217,6625
6544,80753,29-Nov-17,291117,94739
6545,80752,29-Nov-17,291117,90186
6546,80751,29-Nov-17,291117,115205
6547,9274,29-Nov-17,291117,29210
6548,44129,28-Nov-17,281117,57510
6549,6275,28-Nov-17,281117,6275
6550,A517223,28-Nov-17,281117,7689
6551,POSO81217,12-Dec-17,121217,3550
6552,44143,12-Dec-17,121217,79190
6553,80759,05-Dec-17,51217,12320
6554,80760,05-Dec-17,51217,126961
6555,10340,20-Dec-17,201217,10340
6556,686263,05-Dec-17,51217,18896
6557,44239,02-Dec-17,21217,1
6558,9272,28-Nov-17,281117,7565
6559,9273,28-Nov-17,281117,73136
6560,IKOC6908161,11-Dec-17,111217,1682070
6561,IKOC6907989,11-Dec-17,111217,733695
6562,POSO91117,27-Nov-17,271117,985
6563,9261,21-Nov-17,211117,10666
6564,9262,21-Nov-17,211117,102451
6565,9269,24-Nov-17,241117,113315
6566,262636,06-Dec-17,61217,228820
6567,686264,05-Dec-17,51217,18896
6568,IKOC6890893,05-Dec-17,51217,3006965
6569,IKOC6867050,27-Nov-17,271117,3153976
6570,IKOC6866975,27-Nov-17,271117,7977824
6571,270,02-Dec-17,21217,7655
6572,A597090,20-Dec-17,201217,5151
6573,12605,20-Dec-17,201217,12605
6574,670,20-Dec-17,201217,14565
6575,154776,20-Dec-17,201217,154776
6576,1458,20-Dec-17,201217,2920
6577,89591,20-Dec-17,201217,15035
6578,9268,24-Nov-17,241117,6830
6579,22422,29-Nov-17,291117,590
6580,44249,07-Dec-17,71217,640
6581,48,07-Dec-17,71217,745
6582,25652,11-Dec-17,111217,1342
6583,80775,14-Dec-17,141217,11190
6584,69165,14-Dec-17,141217,750
6585,72762,29-Nov-17,291117,58140
6586,17756,06-Dec-17,61217,17756
6587,14081,06-Dec-17,61217,14081
6588,20610,06-Dec-17,61217,20610
6589,178964,06-Dec-17,61217,178964
6590,149001,06-Dec-17,61217,149001
6591,161593,06-Dec-17,61217,161593
6592,89580,06-Dec-17,61217,21691
6593,34071,06-Dec-17,61217,10070
6594,12213,27-Nov-17,271117,1410
6595,37074,27-Nov-17,271117,770
6596,74528,12-Dec-17,121217,7205
6597,5184403,30-Nov-17,301117,2625
6598,44133,30-Nov-17,301117,70915
6599,71993,30-Nov-17,301117,10820
6600,12216,30-Nov-17,301117,1575
6601,686265,07-Dec-17,71217,120
6602,18860,06-Dec-17,61217,18860
6603,IKOC6895679,06-Dec-17,61217,451263
6604,932445,30-Nov-17,301117,3676
6605,71863,29-Nov-17,291117,10385
6606,71864,29-Nov-17,291117,15915
6607,IKOC6885398,04-Dec-17,41217,2107828
6608,37063,21-Nov-17,211117,1450
6609,44130,29-Nov-17,291117,59195
6610,44132,29-Nov-17,291117,40700
6611,44131,29-Nov-17,291117,62665
6612,65787,29-Nov-17,291117,5850
6613,85788,29-Nov-17,291117,6635
6614,85789,29-Nov-17,291117,6895
6615,71992,29-Nov-17,291117,8300
6616,71991,29-Nov-17,291117,7220
6617,71990,29-Nov-17,291117,8331
6618,IKOC6898982,07-Dec-17,71217,462725
6619,A445116,29-Nov-17,291117,745
6620,A445117,29-Nov-17,291117,560
6621,A445118,29-Nov-17,291117,435
6622,351264,27-Dec-17,271217,57440
6623,A597082,13-Dec-17,131217,3740
6624,B597082,13-Dec-17,131217,5302
6625,12191,13-Dec-17,131217,12191
6626,23726,13-Dec-17,131217,23726
6627,9625,13-Dec-17,131217,9625
6628,16294,13-Dec-17,131217,16294
6629,176890,13-Dec-17,131217,176890
6630,89585,13-Dec-17,131217,18695
6631,4298710,30-Dec-17,301217,260
6632,18340,30-Dec-17,301217,46270
6633,18318,30-Dec-17,301217,26438
6634,20698,26-Dec-17,261217,20698
6635,175549,26-Dec-17,261217,175549
6636,44149,16-Dec-17,161217,50975
6637,7263,20-Dec-17,201217,12810
6638,546795,19-Dec-17,191217,1570
6639,28251,19-Dec-17,191217,41350
6640,96622,16-Dec-17,161217,96622
6641,17423,16-Dec-17,161217,17423
6642,16932,28-Dec-17,281217,16932
6643,14531,28-Dec-17,281217,14531
6644,21617,28-Dec-17,281217,21617
6645,150697,28-Dec-17,281217,150697
6646,100000,22-Dec-17,221217,100000
6647,17611,22-Dec-17,221217,17611
6648,18313,26-Dec-17,261217,15291
6649,18336,26-Dec-17,261217,32867
6650,15702,15-Dec-17,151217,15702
6651,151042,15-Dec-17,151217,151042
6652,5184002,03-Jan-18,30118,2935
6653,71918,03-Jan-18,30118,5960
6654,18321,03-Jan-18,30118,18332
6655,18343,03-Jan-18,30118,49269
6656,81485,03-Jan-18,30118,81485
6657,9830,24-Jan-18,240118,9830
6658,767455,19-Dec-17,191217,30000
6659,A767455,19-Dec-17,191217,20000
6660,B767455,19-Dec-17,191217,20000
6661,C767455,19-Dec-17,191217,900000
6662,D767455,19-Dec-17,191217,900000
6663,E767455,19-Dec-17,191217,650000
6664,25659,13-Dec-17,131217,490
6665,A886078,20-Dec-17,201217,31345
6666,7233402,19-Jan-18,190118,42835
6667,71906,28-Dec-17,281217,6197
6668,71907,28-Dec-17,281217,12700
6669,18316,28-Dec-17,281217,77172
6670,18338,28-Dec-17,281217,140100
6671,44191,28-Dec-17,281217,13321
6672,4320,28-Dec-17,281217,4320
6673,A931605,15-Dec-17,151217,35290
6674,3660,21-Dec-17,211217,30465
6675,3112462,21-Dec-17,211217,166551
6676,26445,21-Dec-17,211217,26445
6677,180981,21-Dec-17,211217,180981
6678,18335,22-Dec-17,221217,33435
6679,28255,22-Dec-17,221217,56280
6680,22172,24-Jan-18,240118,75781
6681,A886057,26-Dec-17,261217,27196
6682,22168,19-Jan-18,190118,88636
6683,18311,21-Dec-17,211217,25469
6684,18334,21-Dec-17,211217,44204
6685,A886032,28-Dec-17,281217,24915
6686,B886032,28-Dec-17,281217,21685
6687,7268,22-Dec-17,221217,7185
6688,47158,22-Dec-17,221217,760
6689,15291,19-Dec-17,191217,15291
6690,47166,29-Dec-17,291217,1990
6691,20316,29-Dec-17,291217,7680
6692,47162,27-Dec-17,271217,365
6693,80774,13-Dec-17,131217,12530
6694,44148,15-Dec-17,151217,57430
6695,44183,15-Dec-17,151217,6636
6696,18345,05-Jan-18,50118,35572
6697,44224,05-Jan-18,50118,3375
6698,98282,24-Jan-18,240118,56770
6699,48577,27-Dec-17,271217,530
6700,36492,18-Dec-17,181217,162225
6701,68967,18-Dec-17,181217,120
6702,A444269,05-Jan-18,50118,122120
6703,18323,05-Jan-18,50118,12181
6704,A521031,24-Jan-18,240118,15185
6705,18309,19-Dec-17,191217,11670
6706,18332,19-Dec-17,191217,35394
6707,616237,28-Dec-17,281217,80825
6708,454,13-Dec-17,131217,10935
6709,614451,19-Dec-17,191217,393025
6710,79785,28-Dec-17,281217,4605
6711,79758,28-Dec-17,281217,43695
6712,71883,13-Dec-17,131217,6436
6713,71884,13-Dec-17,131217,13530
6714,448276,24-Jan-18,240118,29322
6715,A448276,24-Jan-18,240118,26555
6716,POS31217,15-Dec-17,151217,680
6717,28254,21-Dec-17,211217,54110
6718,63471,21-Dec-17,211217,1970
6719,64492,05-Jan-18,50118,121994
6720,64493,05-Jan-18,50118,10655
6721,A510191,29-Dec-17,291217,1080
6722,159735,29-Dec-17,291217,159735
6723,79753,20-Dec-17,201217,13320
6724,702702,21-Dec-17,211217,905
6725,A596400,28-Dec-17,281217,17091
6726,95633,28-Dec-17,281217,5550
6727,11866,22-Dec-17,221217,23640
6728,4715,28-Dec-17,281217,4715
6729,20974,18-Dec-17,181217,20974
6730,26877,05-Jan-18,50118,835
6731,28479,05-Jan-18,50118,182
6732,7257,16-Dec-17,161217,6676
6733,465,28-Dec-17,281217,8765
6734,64482,30-Dec-17,301217,7441
6735,7267,21-Dec-17,211217,17850
6736,3998119,05-Jan-18,50118,9472
6737,38788,22-Dec-17,221217,780
6738,71895,20-Dec-17,201217,4000
6739,71896,20-Dec-17,201217,6335
6740,18310,20-Dec-17,201217,34189
6741,18333,20-Dec-17,201217,65110
6742,A407945,03-Jan-18,30118,2488126
6743,386072,18-Dec-17,181217,26245
6744,72772,13-Dec-17,131217,24955
6745,11058,19-Jan-18,190118,19653
6746,11069,19-Jan-18,190118,53731
6747,28252,20-Dec-17,201217,50330
6748,28253,20-Dec-17,201217,30365
