"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
BG(SL),2882395,5468896,1968187,6068895,2043546,5343030,13412325,15300828,2552284,1969931,-169500,1710000,58550817
ACT,2037429,3801918,1148254,6175377,1720130,4729947,9984467,19747257,2072156,1109755,2444118,1297678,56268484
35 - SWR COPPY,2045489,4045656,1290113,4907209,1337461,4116149,8921949,12221252,2064925,1352347,2779863,1331239,46413652
ACT-COPPY,-8060,-243738,-141859,1268168,382668,613798,1062518,7526005,7231,-242593,-335746,-33560,9854832
BUD PROP,1923545,3667877,1269948,4044533,1367974,3542601,11323635,10200808,1842340,1309771,2154345,1140000,43787377
ACT-BP,113884,134041,-121694,2130844,352156,1187346,-1339168,9546449,229816,-200016,289773,157678,12481107
"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
"",01 02,,03 04,,05,06,07 08,,09,10,10N,11,TOTAL
BG,4186000 8865000,,4597000 6864000,,5322000,8164000,19765000 9271000,,3527000,3249146,-246146,2560000,76124000
BG(SL),4045119 8450074,,4508377 6654382,,5105999,7918786,19438141 8955006,,3276183,3017396,-246146,2560000,73683317
ACT,2730779 5791570,,3012369 5430376,,3809841,5643553,15255419 9609785,,2712331,1393665,3610806,1720178,60720672
36 - WCR COPPY,2933427 5959661,,2988151 4643063,,3695601,5470039,14853773 8229335,,2448288,1301137,3107052,1846039,57475566
ACT-COPPY,-202648 -168091,,24219 787313,,114240,173514,401646 1380450,,264043,92527,503754,-125861,3245106
BUD PROP,2719241 5725273,,3032773 4466820,,3446214,5382498,16001694 5970099,,2440639,2007000,3599166,1708125,56499542
ACT-BP,11538 66297,,-20404 963556,,363627,261055,-746275 3639686,,271692,-613335,11640,12053,4221130
BG,94759000 178400000,,63937000 176757000,,92448000 177712000 402927000 293546000,,,,88913000,81214888,-2644888,52031000,1700000000
BG(SL),91590553 169244394,,62604761 170038617,,88103225 171156559 394187940 282778233,,,,82939358,76542149,-2694888,52031000,1638521901
ACT,61437422 123915878,,43659373 132801055,,68856287 135947875 292827876 279652889,,,,64886179,54375235,76422855,36188464,1370971388
TN - TOTAL,,,,,,,,,,,,,
COPPY,64511620 124365165,,43114923 125815465,,64262217 125562215 274339084 221264704,,,,64805403,53924752,64490405,36841850,1263297803
NET,,,,,,,,,,,,,
