Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
15243,237683,09-JAN-19,090119,245575
15244,384052,09-JAN-19,090119,27040
15245,384053,09-JAN-19,090119,26640
15246,338119,09-JAN-19,090119,590
15247,152196,09-JAN-19,090119,13230
15248,415434,11-JAN-19,110119,89622
15249,0385389,11-JAN-19,110119,785
15250,0385390,11-JAN-19,110119,685
15251,0385387,11-JAN-19,110119,350
15252,0385388,11-JAN-19,110119,325
15253,384467,11-JAN-19,110119,5190
15254,197178,11-JAN-19,110119,130
15255,455615,11-JAN-19,110119,1370
15256,A988352,11-JAN-19,110119,1425
15257,365,11-JAN-19,110119,365
15258,338362,11-JAN-19,110119,2887
15259,436599,11-JAN-19,110119,9800
15260,468874,01-JAN-19,010119,5375
15261,468873,01-JAN-19,010119,4110
15262,380240,01-JAN-19,010119,9285
15263,386371,01-JAN-19,010119,1675
15264,55765,01-JAN-19,010119,55765
15265,436638,01-JAN-19,010119,3830
15266,379046,01-JAN-19,010119,13000
15267,379045,01-JAN-19,010119,79005
15268,437882,01-JAN-19,010119,8111000
15269,437883,01-JAN-19,010119,134130
15270,IKOC7889788,07-JAN-19,070119,1658075
15271,IKOC7889921,07-JAN-19,070119,347770
15272,468842,09-JAN-19,090119,120229
15273,316838,09-JAN-19,090119,1025
15274,3388469,09-JAN-19,090119,3388469
15275,14382,09-JAN-19,090119,27090
15276,A14382,09-JAN-19,090119,365855
15277,B14382,09-JAN-19,090119,495145
15278,476391,09-JAN-19,090119,40960
15279,476392,09-JAN-19,090119,1585
15280,5201005,09-JAN-19,090119,66618
15281,5201004,09-JAN-19,090119,73550
15282,764899,11-JAN-19,110119,850
15283,136315,11-JAN-19,110119,30185
15284,13642,11-JAN-19,110119,915
15285,13631,11-JAN-19,110119,300
15286,217168,11-JAN-19,110119,57852
15287,217172,11-JAN-19,110119,181480
15288,217169,11-JAN-19,110119,2970189
15289,380224,17-JAN-19,170119,155
15290,384143,17-JAN-19,170119,550
15291,467065,17-JAN-19,170119,15975
15292,25678,17-JAN-19,170119,1725
15293,75732,17-JAN-19,170119,14145
15294,75733,17-JAN-19,170119,5000
15295,601282,01-JAN-19,010119,345
15296,468835,01-JAN-19,010119,67386
15297,384133,01-JAN-19,010119,930
15298,467052,01-JAN-19,010119,5725
15299,75714,01-JAN-19,010119,8140
15300,0046726,01-JAN-19,010119,1667
15301,A0046726,01-JAN-19,010119,335
15302,384456,01-JAN-19,010119,5375
15303,A928229,09-JAN-19,090119,90
15304,384137,09-JAN-19,090119,1330
15305,A467057,09-JAN-19,090119,16290
15306,234633,09-JAN-19,090119,300
15307,436603,09-JAN-19,090119,3615
15308,436604,09-JAN-19,090119,2775
15309,0385385,09-JAN-19,090119,540
15310,0385384,09-JAN-19,090119,110
15311,0385386,09-JAN-19,090119,80
15312,0385383,09-JAN-19,090119,206
15313,455613,09-JAN-19,090119,650
15314,455612,09-JAN-19,090119,260
15315,384403,09-JAN-19,090119,74900
15316,384404,09-JAN-19,090119,64724
15317,464959,09-JAN-19,090119,4681
15318,40142,09-JAN-19,090119,35840
15319,A40142,09-JAN-19,090119,30100
15320,681350,09-JAN-19,090119,29670
15321,468810,09-JAN-19,090119,6180
15322,468809,09-JAN-19,090119,3208
15323,380247,09-JAN-19,090119,24180
