Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
311,66252,20-05-2017,200517,4215,,0,
312,2330,20-05-2017,200517,2330,,0,
313,2035,20-05-2017,200517,2035,,0,
314,21852,24-07-2017,240717,78430,,0,
315,14880,30-06-2017,300617,14880,,0,
316,4650,16-06-2017,160617,4650,,0,
317,645,19-05-2017,190517,645,,0,
318,15275,16-06-2017,160617,139728,,0,
319,1947,27-06-2017,270617,6465,,0,
320,66251,19-05-2017,190517,5970,,0,
321,1275,29-06-2017,290617,1275,,0,
322,2020,29-06-2017,290617,2020,,0,
323,41631,16-06-2017,160617,3898,,0,
324,41870,28-06-2017,280617,69855,,0,
325,9020,29-06-2017,290617,9020,,0,
326,12785,29-06-2017,290617,12785,,0,
327,10376,16-06-2017,160617,161150,,0,
328,67811,16-06-2017,160617,2085,,0,
329,6995,29-07-2017,290717,1750,,0,
330,1495,21-06-2017,210617,1495,,0,
331,10377,17-06-2017,170617,200316,,0,
332,21859,29-07-2017,290717,71180,,0,
333,2500,30-06-2017,300617,2500,,0,
334,5686,22-06-2017,220617,2425,,0,
335,41641,22-06-2017,220617,3785,,0,
336,41642,22-06-2017,220617,5995,,0,
337,720,28-06-2017,280617,720,,0,
338,6905,27-06-2017,270617,6905,,0,
339,1320,23-06-2017,230617,1320,,0,
340,5575,03-07-2017,30717,5575,,0,
341,35165,22-06-2017,220617,35165,,0,
342,29295,16-06-2017,160617,29295,,0,
343,1607,17-06-2017,170617,460,,0,
344,67812,17-06-2017,170617,2055,,0,
345,41649,28-06-2017,280617,3055,,0,
346,41650,28-06-2017,280617,5831,,0,
347,10385,28-06-2017,280617,176190,,0,
348,1740,21-06-2017,210617,1740,,0,
349,1260,21-06-2017,210617,1260,,0,
350,1940,16-06-2017,160617,8510,,0,
351,1990,16-06-2017,160617,1865,,0,
352,41652,30-05-2017,300517,3744,,0,
353,41653,30-05-2017,300517,4845,,0,
354,1110,30-05-2017,300517,1110,,0,
355,1710,29-06-2017,290617,140125,,0,
356,62799,16-06-2017,160617,1395,,0,
357,21851,21-07-2017,210717,127380,,0,
358,780,18-07-2017,180717,780,,0,
359,16156,18-07-2017,180717,16156,,0,
360,985,05-07-2017,50717,985,,0,
361,550,05-07-2017,50717,550,,0,
362,1930,05-07-2017,50717,1930,,0,
363,1680,05-07-2017,50717,1680,,0,
364,155,14-07-2017,140717,155,,0,
365,540,14-07-2017,140717,540,,0,
366,12785,05-07-2017,50717,12785,,0,
367,8690,05-07-2017,50717,8690,,0,
368,2265,05-07-2017,50717,2265,,0,
369,97976,05-07-2017,50717,97976,,0,
370,6911,24-07-2017,240717,2725,,0,
371,6175,26-07-2017,260717,6175,,0,
372,2205,04-07-2017,40717,2205,,0,
373,1740,26-07-2017,260717,102335,,0,
374,18750,26-07-2017,260717,18750,,0,
375,610,18-07-2017,180717,610,,0,
376,A540,18-07-2017,180717,540,,0,
377,2470,18-07-2017,180717,2470,,0,
378,2615,18-07-2017,180717,2615,,0,
379,585,14-07-2017,140717,585,,0,
380,95879,14-07-2017,140717,1865,,0,
381,4905,05-07-2017,50717,4905,,0,
382,1995,05-07-2017,50717,1955,,0,
383,645,14-07-2017,140717,645,,0,
384,470,14-07-2017,140717,470,,0,
385,1515,14-07-2017,140717,1515,,0,
386,165,14-07-2017,140717,165,,0,
387,340,14-07-2017,140717,340,,0,
388,1450,14-07-2017,140717,1450,,0,
389,1225,01-07-2017,10717,1225,,0,
390,67753,28-07-2017,280717,935,,0,
391,4250,05-07-2017,50717,4250,,0,
392,9010,05-07-2017,50717,9010,,0,
393,1480,05-07-2017,50717,1480,,0,
394,595,14-07-2017,140717,595,,0,
395,84895,14-07-2017,140717,84895,,0,
396,8681,28-07-2017,280717,8681,,0,
397,23370,25-07-2017,250717,23370,,0,
398,26275,11-07-2017,110717,26275,,0,
399,4010,05-07-2017,50717,4010,,0,
400,1325,05-07-2017,50717,1325,,0,
401,775,05-07-2017,50717,775,,0,
402,605,05-07-2017,50717,605,,0,
403,3235,05-07-2017,50717,3235,,0,
404,14905,07-08-2017,70817,720,,0,
405,21856,26-07-2017,260717,78070,,0,
406,21854,26-07-2017,260717,73430,,0,
407,21855,26-07-2017,260717,101050,,0,
408,5620,19-07-2017,190717,5620,,0,
409,5790,04-07-2017,40717,5790,,0,
410,44578,04-07-2017,40717,112602,,0,
411,95888,25-07-2017,250717,2040,,0,
412,38628,28-07-2017,280717,38628,,0,
413,6994,28-07-2017,280717,2295,,0,
414,3516,31-07-2017,310717,3516,,0,
415,44715,01-07-2017,10717,3560,,0,
416,710,18-07-2017,180717,710,,0,
417,11340,18-07-2017,180717,11340,,0,
418,2425,18-07-2017,180717,2425,,0,
