Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
4675,3885588,21-Jun-21,210621,975
4676,50109,21-Jun-21,210621,80
4677,88033,21-Jun-21,210621,490
4678,38690,21-Jun-21,210621,875
4679,38656,21-Jun-21,210621,109300
4680,42749,21-Jun-21,210621,79920
4681,304877,21-Jun-21,210621,23655
4682,50171,21-Jun-21,210621,15755
4683,16054,21-Jun-21,210621,43357
4684,16053,21-Jun-21,210621,291705
4685,1135,21-Jun-21,210621,1135
4686,77023,21-Jun-21,210621,77023
4687,8300,21-Jun-21,210621,8300
4688,2665,21-Jun-21,210621,2665
4689,108019,03-Jul-21,30721,1545
4690,493173,03-Jul-21,30721,99790
4691,949989,03-Jul-21,30721,64575
4692,5800,03-Jul-21,30721,1525
4693,6905,03-Jul-21,30721,6905
4694,11120,03-Jul-21,30721,11120
4695,14838,03-Jul-21,30721,14838
4696,96266,18-Jun-21,180621,54135
4697,42756,18-Jun-21,180621,324467
4698,5785,18-Jun-21,180621,805
4699,A569693,18-Jun-21,180621,25
4700,14421,18-Jun-21,180621,18615
4701,4209,23-Jul-21,230721,2210
4702,4208,23-Jul-21,230721,605
4703,4207,23-Jul-21,230721,695
4704,993807,23-Jul-21,230721,300
4705,46198,23-Jul-21,230721,1075
4706,46192,23-Jul-21,230721,135
4707,46193,23-Jul-21,230721,180
4708,46197,23-Jul-21,230721,910
4709,46199,23-Jul-21,230721,765
4710,19275,23-Jul-21,230721,19275
4711,IKDD1499124,29-Jul-21,290721,1682974
4712,IKD1499925,29-Jul-21,290721,1843482
4713,7296421,29-Jul-21,290721,20240
4714,A478779,29-Jul-21,290721,193095
4715,60245,29-Jul-21,290721,124175
4716,60266,29-Jul-21,290721,430
4717,1110,29-Jul-21,290721,5700
4718,1087,29-Jul-21,290721,510
4719,83736,29-Jul-21,290721,20435
4720,4867413,29-Jul-21,290721,166575
4721,1069,29-Jul-21,290721,105
4722,42513,29-Jul-21,290721,63360
4723,B308635,29-Jul-21,290721,465835
4724,219597,29-Jul-21,290721,219597
4725,22561,05-Apr-21,50421,1220
4726,39328,05-Apr-21,50421,435
4727,39426,05-Apr-21,50421,62525
4728,39402,05-Apr-21,50421,41225
4729,21305,05-Apr-21,50421,21305
4730,17630,05-Apr-21,50421,17630
4731,13540,05-Apr-21,50421,13540
4732,10902,05-Apr-21,50421,78485
4733,10901,05-Apr-21,50421,39440
4734,483937,05-Apr-21,50421,15560
4735,482126,05-Apr-21,50421,13265
4736,483940,05-Apr-21,50421,630
4737,58112,05-Apr-21,50421,350
4738,83684,29-Apr-21,290421,1400
4739,83686,29-Apr-21,290421,105
4740,83685,29-Apr-21,290421,1310
4741,7212,29-Apr-21,290421,28135
4742,7210,29-Apr-21,290421,23620
4743,7211,29-Apr-21,290421,37880
4744,5842,29-Apr-21,290421,61072
4745,6217519,29-Apr-21,290421,650
4746,6217573,29-Apr-21,290421,140
4747,10755,17-Apr-21,170421,10755
4748,A949923,17-Apr-21,170421,1540
4749,118199,17-Apr-21,170421,110
4750,7230,17-Apr-21,170421,49290
4751,7241,17-Apr-21,170421,19760
4752,1495,17-Apr-21,170421,1495
4753,108808,17-Apr-21,170421,496
4754,108809,17-Apr-21,170421,540
4755,993741,17-Apr-21,170421,315
4756,3850,17-Apr-21,170421,3850
4757,865,17-Apr-21,170421,865
4758,195,17-Apr-21,170421,195
4759,952805,15-Apr-21,150421,1765
4760,5503,15-Apr-21,150421,33300
4761,5552,15-Apr-21,150421,395
4762,702097,15-Apr-21,150421,17905
4763,95825,15-Apr-21,150421,2370
4764,12600,15-Apr-21,150421,12600
4765,49580,15-Apr-21,150421,49580
4766,64834,15-Apr-21,150421,29795
4767,22678,15-Apr-21,150421,117558
4768,14307,15-Apr-21,150421,12510
4769,16637,15-Apr-21,150421,870
4770,476135,15-Apr-21,150421,30410
4771,88392,15-Apr-21,150421,178042
4772,22719,15-Apr-21,150421,3940
4773,22720,15-Apr-21,150421,18743
4774,43118,15-Apr-21,150421,21945
4775,39333,15-Apr-21,150421,140
4776,22566,15-Apr-21,150421,1260
4777,4999939,04-May-21,40521,1095
4778,4860327,04-May-21,40521,515
4779,952819,04-May-21,40521,565
4780,88017,04-May-21,40521,220
4781,38633,04-May-21,40521,9915
4782,36680,04-May-21,40521,170
4783,5525,04-May-21,40521,14170
4784,92056,04-May-21,40521,23400
4785,92057,04-May-21,40521,4410
4786,92032,04-May-21,40521,7415
4787,20919,04-May-21,40521,7015
4788,A20919,04-May-21,40521,4410
4789,B20919,04-May-21,40521,30
4790,64843,04-May-21,40521,18045
4791,22685,04-May-21,40521,34304
4792,476155,04-May-21,40521,31910
4793,476156,04-May-21,40521,29095
4794,84612,04-May-21,40521,15375
4795,84613,04-May-21,40521,14010
4796,10924,11-May-21,110521,2475
4797,7224,11-May-21,110521,8770
4798,42552,11-May-21,110521,10602
4799,104016,11-May-21,110521,16425
4800,A569686,11-May-21,110521,25
4801,A569685,11-May-21,110521,25
4802,476175,28-May-21,280521,23155
4803,36689,28-May-21,280521,9005
4804,967432,28-May-21,280521,1105
4805,951355,28-May-21,280521,3570
4806,14752,28-May-21,280521,62340
4807,7194,28-May-21,280521,8960
4808,42564,28-May-21,280521,143410
4809,6175,28-May-21,280521,6175
4810,14753,28-May-21,280521,41680
4811,42677,10-Jun-21,100621,3607
4812,5778,10-Jun-21,100621,600
4813,7030,10-Jun-21,100621,7030
4814,IKD1357543,10-Jun-21,100621,1014538
4815,10966,16-Jun-21,160621,5250
4816,10967,16-Jun-21,160621,163635
4817,587758,16-Jun-21,160621,27305
4818,587191,16-Jun-21,160621,26605
4819,586752,16-Jun-21,160621,36435
4820,586544,16-Jun-21,160621,29670
4821,14774,16-Jun-21,160621,56855
4822,14773,16-Jun-21,160621,112850
4823,14772,16-Jun-21,160621,142670
4824,96262,16-Jun-21,160621,32445
4825,7303415,30-Jun-21,300621,1475
4826,7303416,30-Jun-21,300621,17185
4827,38663,30-Jun-21,300621,83660
4828,38696,30-Jun-21,300621,335
4829,38697,30-Jun-21,300621,815
4830,38664,30-Jun-21,300621,124532
4831,38666,30-Jun-21,300621,119010
4832,38665,30-Jun-21,300621,111615
4833,54913,30-Jun-21,300621,378980
4834,5566,30-Jun-21,300621,180
4835,5567,30-Jun-21,300621,165
4836,5568,30-Jun-21,300621,285
4837,1033,30-Jun-21,300621,52920
4838,1034,30-Jun-21,300621,50985
4839,1032,30-Jun-21,300621,99610
4840,50178,30-Jun-21,300621,11730
4841,55086,30-Jun-21,300621,85165
4842,179412,30-Jun-21,300621,179412
4843,104215,30-Jun-21,300621,104215
4844,26833,30-Jun-21,300621,31870
4845,26832,30-Jun-21,300621,32900
4846,13695,30-Jun-21,300621,13695
4847,13240,30-Jun-21,300621,13240
4848,18750,30-Jun-21,300621,18750
4849,A483023,21-Jun-21,210621,101905
4850,A401575,21-Jun-21,210621,9
4851,49917,21-Jun-21,210621,9097
4852,33647,21-Jun-21,210621,42545
4853,5638,21-Jun-21,210621,27915
4854,71790,21-Jun-21,210621,33605
4855,108009,21-Jun-21,210621,580
4856,39350,21-Jun-21,210621,410
4857,76254,21-Jun-21,210621,18205
4858,76307,21-Jun-21,210621,12210
4859,213,21-Jun-21,210621,1145
4860,10973,21-Jun-21,210621,49640
4861,10972,21-Jun-21,210621,7000
4862,7303418,02-Jul-21,20721,21210
4863,33787,02-Jul-21,20721,117740
4864,38699,02-Jul-21,20721,795
4865,38668,02-Jul-21,20721,97995
4866,50118,02-Jul-21,20721,780
4867,88043,02-Jul-21,20721,1565
4868,1036,02-Jul-21,20721,71785
4869,614483,02-Jul-21,20721,77660
4870,6089,02-Jul-21,20721,10480
4871,21080,02-Jul-21,20721,21080
4872,49786,02-Jun-21,20621,9680
4873,49787,02-Jun-21,20621,21365
4874,13285,02-Jun-21,20621,13285
4875,A2132032053,07-Jul-21,70721,17700
4876,157518,07-Jul-21,70721,157518
4877,7303424,09-Jul-21,90721,36325
4878,38675,09-Jul-21,90721,111520
4879,60253,09-Jul-21,90721,315
4880,50121,09-Jul-21,90721,165
4881,88049,09-Jul-21,90721,1560
4882,3961629,09-Jul-21,90721,10795
4883,1051,09-Jul-21,90721,1090
4884,1043,09-Jul-21,90721,74250
